X_pos,X_neg,Y_pos,Y_neg,Z_pos,Z_neg,Rot_pos,Rot_neg,Finish
2.31,6.575,4.09,1.0,15.3,4.98,296.0,396.9,24.0
7.07,6.421,4.9671,2.0,17.8,9.14,242.0,396.9,21.6
7.07,7.185,4.9671,2.0,17.8,4.03,242.0,392.83,34.7
2.18,6.998,6.0622,3.0,18.7,2.94,222.0,394.63,33.4
2.18,7.147,6.0622,3.0,18.7,5.33,222.0,396.9,36.2
2.18,6.43,6.0622,3.0,18.7,5.21,222.0,394.12,28.7
7.87,6.012,5.5605,5.0,15.2,12.43,311.0,395.6,22.9
7.87,6.172,5.9505,5.0,15.2,19.15,311.0,396.9,27.1
7.87,5.631,6.0821,5.0,15.2,29.93,311.0,386.63,16.5
7.87,6.004,6.5921,5.0,15.2,17.1,311.0,386.71,18.9
7.87,6.377,6.3467,5.0,15.2,20.45,311.0,392.52,15.0
7.87,6.009,6.2267,5.0,15.2,13.27,311.0,396.9,18.9
7.87,5.889,5.4509,5.0,15.2,15.71,311.0,390.5,21.7
8.14,5.949,4.7075,4.0,21.0,8.26,307.0,396.9,20.4
8.14,6.096,4.4619,4.0,21.0,10.26,307.0,380.02,18.2
8.14,5.834,4.4986,4.0,21.0,8.47,307.0,395.62,19.9
8.14,5.935,4.4986,4.0,21.0,6.58,307.0,386.85,23.1
8.14,5.99,4.2579,4.0,21.0,14.67,307.0,386.75,17.5
8.14,5.456,3.7965,4.0,21.0,11.69,307.0,288.99,20.2
8.14,5.727,3.7965,4.0,21.0,11.28,307.0,390.95,18.2
8.14,5.57,3.7979,4.0,21.0,21.02,307.0,376.57,13.6
8.14,5.965,4.0123,4.0,21.0,13.83,307.0,392.53,19.6
8.14,6.142,3.9769,4.0,21.0,18.72,307.0,396.9,15.2
8.14,5.813,4.0952,4.0,21.0,19.88,307.0,394.54,14.5
8.14,5.924,4.3996,4.0,21.0,16.3,307.0,394.33,15.6
8.14,5.599,4.4546,4.0,21.0,16.51,307.0,303.42,13.9
8.14,5.813,4.682,4.0,21.0,14.81,307.0,376.88,16.6
8.14,6.047,4.4534,4.0,21.0,17.28,307.0,306.38,14.8
8.14,6.495,4.4547,4.0,21.0,12.8,307.0,387.94,18.4
8.14,6.674,4.239,4.0,21.0,11.98,307.0,380.23,21.0
8.14,5.713,4.233,4.0,21.0,22.6,307.0,360.17,12.7
8.14,6.072,4.175,4.0,21.0,13.04,307.0,376.73,14.5
8.14,5.95,3.99,4.0,21.0,27.71,307.0,232.6,13.2
8.14,5.701,3.7872,4.0,21.0,18.35,307.0,358.77,13.1
8.14,6.096,3.7598,4.0,21.0,20.34,307.0,248.31,13.5
5.96,5.933,3.3603,5.0,19.2,9.68,279.0,396.9,18.9
5.96,5.841,3.3779,5.0,19.2,11.41,279.0,377.56,20.0
5.96,5.85,3.9342,5.0,19.2,8.77,279.0,396.9,21.0
5.96,5.966,3.8473,5.0,19.2,10.13,279.0,393.43,24.7
2.95,6.595,5.4011,3.0,18.3,4.32,252.0,395.63,30.8
2.95,7.024,5.4011,3.0,18.3,1.98,252.0,395.62,34.9
6.91,6.77,5.7209,3.0,17.9,4.84,233.0,385.41,26.6
6.91,6.169,5.7209,3.0,17.9,5.81,233.0,383.37,25.3
6.91,6.211,5.7209,3.0,17.9,7.44,233.0,394.46,24.7
6.91,6.069,5.7209,3.0,17.9,9.55,233.0,389.39,21.2
6.91,5.682,5.1004,3.0,17.9,10.21,233.0,396.9,19.3
6.91,5.786,5.1004,3.0,17.9,14.15,233.0,396.9,20.0
6.91,6.03,5.6894,3.0,17.9,18.8,233.0,392.74,16.6
6.91,5.399,5.87,3.0,17.9,30.81,233.0,396.9,14.4
6.91,5.602,6.0877,3.0,17.9,16.2,233.0,396.9,19.4
5.64,5.963,6.8147,4.0,16.8,13.45,243.0,395.56,19.7
5.64,6.115,6.8147,4.0,16.8,9.43,243.0,393.97,20.5
5.64,6.511,6.8147,4.0,16.8,5.28,243.0,396.9,25.0
5.64,5.998,6.8147,4.0,16.8,8.43,243.0,396.9,23.4
4.0,5.888,7.3197,3.0,21.1,14.8,469.0,396.9,18.9
1.22,7.249,8.6966,5.0,17.9,4.81,226.0,395.93,35.4
0.74,6.383,9.1876,2.0,17.3,5.77,313.0,396.9,24.7
1.32,6.816,8.3248,5.0,15.1,3.95,256.0,392.9,31.6
5.13,6.145,7.8148,8.0,19.7,6.86,284.0,390.68,23.3
5.13,5.927,6.932,8.0,19.7,9.22,284.0,396.9,19.6
5.13,5.741,7.2254,8.0,19.7,13.15,284.0,395.11,18.7
5.13,5.966,6.8185,8.0,19.7,14.44,284.0,378.08,16.0
5.13,6.456,7.2255,8.0,19.7,6.73,284.0,396.9,22.2
5.13,6.762,7.9809,8.0,19.7,9.5,284.0,395.58,25.0
1.38,7.104,9.2229,3.0,18.6,8.05,216.0,393.24,33.0
3.37,6.29,6.6115,4.0,16.1,4.67,337.0,396.9,23.5
3.37,5.787,6.6115,4.0,16.1,10.24,337.0,396.9,19.4
6.07,5.878,6.498,4.0,18.9,8.1,345.0,396.21,22.0
6.07,5.594,6.498,4.0,18.9,13.09,345.0,396.9,17.4
6.07,5.885,6.498,4.0,18.9,8.79,345.0,396.9,20.9
10.81,6.417,5.2873,4.0,19.2,6.72,305.0,383.73,24.2
10.81,5.961,5.2873,4.0,19.2,9.88,305.0,376.94,21.7
10.81,6.065,5.2873,4.0,19.2,5.52,305.0,390.91,22.8
10.81,6.245,5.2873,4.0,19.2,7.54,305.0,377.17,23.4
12.83,6.273,4.2515,5.0,18.7,6.78,398.0,394.92,24.1
12.83,6.286,4.5026,5.0,18.7,8.94,398.0,383.23,21.4
12.83,6.279,4.0522,5.0,18.7,11.97,398.0,373.66,20.0
12.83,6.14,4.0905,5.0,18.7,10.27,398.0,386.96,20.8
12.83,6.232,5.0141,5.0,18.7,12.34,398.0,386.4,21.2
12.83,5.874,4.5026,5.0,18.7,9.1,398.0,396.06,20.3
4.86,6.727,5.4007,4.0,19.0,5.29,281.0,396.9,28.0
4.86,6.619,5.4007,4.0,19.0,7.22,281.0,395.63,23.9
4.86,6.302,5.4007,4.0,19.0,6.72,281.0,396.9,24.8
4.86,6.167,5.4007,4.0,19.0,7.51,281.0,390.64,22.9
4.49,6.389,4.7794,3.0,18.5,9.62,247.0,396.9,23.9
4.49,6.63,4.4377,3.0,18.5,6.53,247.0,392.3,26.6
4.49,6.015,4.4272,3.0,18.5,12.86,247.0,395.99,22.5
4.49,6.121,3.7476,3.0,18.5,8.44,247.0,395.15,22.2
3.41,7.007,3.4217,2.0,17.8,5.5,270.0,396.9,23.6
3.41,7.079,3.4145,2.0,17.8,5.7,270.0,396.06,28.7
3.41,6.417,3.0923,2.0,17.8,8.81,270.0,392.18,22.6
3.41,6.405,3.0921,2.0,17.8,8.2,270.0,393.55,22.0
15.04,6.442,3.6659,4.0,18.2,8.16,270.0,395.01,22.9
15.04,6.211,3.6659,4.0,18.2,6.21,270.0,396.33,25.0
15.04,6.249,3.615,4.0,18.2,10.59,270.0,396.9,20.6
2.89,6.625,3.4952,2.0,18.0,6.65,276.0,357.98,28.4
2.89,6.163,3.4952,2.0,18.0,11.34,276.0,391.83,21.4
2.89,8.069,3.4952,2.0,18.0,4.21,276.0,396.9,38.7
2.89,7.82,3.4952,2.0,18.0,3.57,276.0,393.53,43.8
2.89,7.416,3.4952,2.0,18.0,6.19,276.0,396.9,33.2
8.56,6.727,2.7778,5.0,20.9,9.42,384.0,394.76,27.5
8.56,6.781,2.8561,5.0,20.9,7.67,384.0,395.58,26.5
